plan_id,sku_id,planned_date,planned_quantity,actual_produced_quantity,machine_id
PLAN-00000083,SKU-FLO-000,2024-07-28,36516,32126,M4
PLAN-00000084,SKU-FLO-000,2024-08-04,35208,30922,M4
PLAN-00000085,SKU-FLO-000,2024-08-11,37042,32961,M4
PLAN-00000086,SKU-FLO-000,2024-08-18,41508,43418,M6
PLAN-00000087,SKU-FLO-000,2024-08-25,43566,44327,M1
PLAN-00000088,SKU-FLO-000,2024-09-01,39121,32625,M6
PLAN-00000089,SKU-FLO-000,2024-09-08,37604,36985,M1
PLAN-00000090,SKU-FLO-000,2024-09-15,36748,31525,M3
PLAN-00000091,SKU-FLO-000,2024-09-22,38452,39575,M3
PLAN-00000092,SKU-FLO-000,2024-09-29,39793,37028,M1
PLAN-00000093,SKU-FLO-000,2024-10-06,37033,40965,M4
PLAN-00000094,SKU-FLO-000,2024-10-13,36528,29075,M1
PLAN-00000095,SKU-FLO-000,2024-10-20,34971,32564,M3
PLAN-00000096,SKU-FLO-000,2024-10-27,38140,36206,M1
PLAN-00000097,SKU-FLO-000,2024-11-03,39862,35788,M1
PLAN-00000098,SKU-FLO-000,2024-11-10,36871,36369,M4
PLAN-00000099,SKU-FLO-000,2024-11-17,37945,37659,M4
PLAN-00000100,SKU-FLO-000,2024-11-24,36957,34878,M1
PLAN-00000101,SKU-FLO-000,2024-12-01,38461,38968,M1
PLAN-00000102,SKU-FLO-000,2024-12-08,38194,37510,M6
PLAN-00000103,SKU-FLO-000,2024-12-15,38481,33029,M4
PLAN-00000104,SKU-FLO-000,2024-12-22,38070,41795,M3
PLAN-00000105,SKU-FLO-000,2024-12-29,42641,36704,M1
PLAN-00000106,SKU-FLO-000,2025-01-05,39561,40042,M6
PLAN-00000107,SKU-FLO-000,2025-01-12,38875,36361,M6
PLAN-00000108,SKU-FLO-000,2025-01-19,38057,37700,M5
PLAN-00000109,SKU-FLO-000,2025-01-26,38086,31654,M1
PLAN-00000110,SKU-FLO-000,2025-02-02,39486,35120,M1
PLAN-00000111,SKU-FLO-000,2025-02-09,41243,39369,M4
PLAN-00000112,SKU-FLO-000,2025-02-16,39264,40590,M4
PLAN-00000113,SKU-FLO-000,2025-02-23,41515,42309,M5
PLAN-00000114,SKU-FLO-000,2025-03-02,48603,51477,M3
PLAN-00000115,SKU-FLO-000,2025-03-09,46866,50347,M2
PLAN-00000116,SKU-FLO-000,2025-03-16,47753,49430,M5
PLAN-00000117,SKU-FLO-000,2025-03-23,51737,54786,M3
PLAN-00000118,SKU-FLO-000,2025-03-30,40448,41519,M3
PLAN-00000119,SKU-FLO-000,2025-04-06,36750,33418,M3
PLAN-00000120,SKU-FLO-000,2025-04-13,37439,37002,M4
PLAN-00000121,SKU-FLO-000,2025-04-20,36739,36033,M4
PLAN-00000122,SKU-FLO-000,2025-04-27,38801,40547,M1
PLAN-00000123,SKU-FLO-000,2025-05-04,36523,35719,M5
PLAN-00000124,SKU-FLO-000,2025-05-11,38153,39386,M6
PLAN-00000125,SKU-FLO-000,2025-05-18,36918,37402,M4
PLAN-00000126,SKU-FLO-000,2025-05-25,41591,41375,M4
PLAN-00000127,SKU-FLO-000,2025-06-01,42736,49455,M4
PLAN-00000128,SKU-FLO-000,2025-06-08,42704,39947,M1
PLAN-00000129,SKU-FLO-000,2025-06-15,39027,39066,M4
PLAN-00000130,SKU-FLO-000,2025-06-22,39720,39574,M4
PLAN-00000131,SKU-FLO-001,2023-01-01,30380,29709,M5
PLAN-00000132,SKU-FLO-001,2023-01-08,29817,30307,M1
PLAN-00000133,SKU-FLO-001,2023-01-15,31719,31027,M2
PLAN-00000134,SKU-FLO-001,2023-01-22,30968,33898,M6
PLAN-00000135,SKU-FLO-001,2023-01-29,33470,34536,M4
PLAN-00000136,SKU-FLO-001,2023-02-05,31870,34630,M1
PLAN-00000137,SKU-FLO-001,2023-02-12,27617,27767,M3
PLAN-00000138,SKU-FLO-001,2023-02-19,27932,29543,M6
PLAN-00000139,SKU-FLO-001,2023-02-26,35194,33134,M6
PLAN-00000140,SKU-FLO-001,2023-03-05,33999,30074,M5
PLAN-00000141,SKU-FLO-001,2023-03-12,29771,25448,M3
PLAN-00000142,SKU-FLO-001,2023-03-19,34455,30896,M6
PLAN-00000143,SKU-FLO-001,2023-03-26,38052,39865,M5
PLAN-00000144,SKU-FLO-001,2023-04-02,34894,39737,M5
PLAN-00000145,SKU-FLO-001,2023-04-09,42511,39575,M4
PLAN-00000146,SKU-FLO-001,2023-04-16,41066,42613,M3
PLAN-00000147,SKU-FLO-001,2023-04-23,31460,28981,M3
PLAN-00000148,SKU-FLO-001,2023-04-30,27531,27639,M5
PLAN-00000149,SKU-FLO-001,2023-05-07,29311,30668,M5
PLAN-00000150,SKU-FLO-001,2023-05-14,32538,31837,M1
PLAN-00000151,SKU-FLO-001,2023-05-21,29142,27841,M5
PLAN-00000152,SKU-FLO-001,2023-05-28,30589,30988,M3
PLAN-00000153,SKU-FLO-001,2023-06-04,32682,35927,M3
PLAN-00000154,SKU-FLO-001,2023-06-11,30858,31497,M1
PLAN-00000155,SKU-FLO-001,2023-06-18,37975,39573,M5
PLAN-00000156,SKU-FLO-001,2023-06-25,34890,37171,M2
PLAN-00000157,SKU-FLO-001,2023-07-02,35068,36738,M5
PLAN-00000158,SKU-FLO-001,2023-07-09,32281,31117,M4
PLAN-00000159,SKU-FLO-001,2023-07-16,31110,31339,M3
PLAN-00000160,SKU-FLO-001,2023-07-23,34841,35652,M3
PLAN-00000161,SKU-FLO-001,2023-07-30,30361,29683,M4
PLAN-00000162,SKU-FLO-001,2023-08-06,30183,31102,M1
PLAN-00000163,SKU-FLO-001,2023-08-13,32236,32414,M5
PLAN-00000164,SKU-FLO-001,2023-08-20,36473,38219,M2
PLAN-00000165,SKU-FLO-001,2023-08-27,33464,38406,M4
PLAN-00000166,SKU-FLO-001,2023-09-03,32993,34342,M6
PLAN-00000167,SKU-FLO-001,2023-09-10,32759,29112,M1
PLAN-00000168,SKU-FLO-001,2023-09-17,31986,32844,M6
PLAN-00000169,SKU-FLO-001,2023-09-24,29767,30236,M3
PLAN-00000170,SKU-FLO-001,2023-10-01,31479,32145,M3
PLAN-00000171,SKU-FLO-001,2023-10-08,29085,28844,M5
PLAN-00000172,SKU-FLO-001,2023-10-15,33798,35683,M4
PLAN-00000173,SKU-FLO-001,2023-10-22,31385,33425,M3
PLAN-00000174,SKU-FLO-001,2023-10-29,36021,32378,M5
PLAN-00000175,SKU-FLO-001,2023-11-05,29136,33351,M4
PLAN-00000176,SKU-FLO-001,2023-11-12,30728,31651,M1
PLAN-00000177,SKU-FLO-001,2023-11-19,34169,33916,M3
PLAN-00000178,SKU-FLO-001,2023-11-26,31286,30946,M4
PLAN-00000179,SKU-FLO-001,2023-12-03,31976,34790,M4
PLAN-00000180,SKU-FLO-001,2023-12-10,31998,32172,M2
PLAN-00000181,SKU-FLO-001,2023-12-17,29937,28226,M2
PLAN-00000182,SKU-FLO-001,2023-12-24,32755,33334,M1
PLAN-00000183,SKU-FLO-001,2023-12-31,31064,30241,M6
PLAN-00000184,SKU-FLO-001,2024-01-07,34516,36540,M1
PLAN-00000185,SKU-FLO-001,2024-01-14,32826,29135,M3
PLAN-00000186,SKU-FLO-001,2024-01-21,35739,31740,M4
PLAN-00000187,SKU-FLO-001,2024-01-28,32615,35629,M1
PLAN-00000188,SKU-FLO-001,2024-02-04,30749,27651,M5
PLAN-00000189,SKU-FLO-001,2024-02-11,37610,37879,M6
PLAN-00000190,SKU-FLO-001,2024-02-18,34354,31319,M3
PLAN-00000191,SKU-FLO-001,2024-02-25,31343,31166,M3
PLAN-00000192,SKU-FLO-001,2024-03-03,29133,27515,M6
PLAN-00000193,SKU-FLO-001,2024-03-10,41583,34696,M4
PLAN-00000194,SKU-FLO-001,2024-03-17,46703,40605,M1
PLAN-00000195,SKU-FLO-001,2024-03-24,42178,43139,M3
PLAN-00000196,SKU-FLO-001,2024-03-31,43222,41229,M1
PLAN-00000197,SKU-FLO-001,2024-04-07,37733,37536,M1
PLAN-00000198,SKU-FLO-001,2024-04-14,31613,31365,M2
PLAN-00000199,SKU-FLO-001,2024-04-21,33509,35550,M6
PLAN-00000200,SKU-FLO-001,2024-04-28,31226,31414,M6
PLAN-00000201,SKU-FLO-001,2024-05-05,31946,32147,M2
PLAN-00000202,SKU-FLO-001,2024-05-12,29189,28129,M3
PLAN-00000203,SKU-FLO-001,2024-05-19,29988,29337,M1
PLAN-00000204,SKU-FLO-001,2024-05-26,27747,30044,M4
PLAN-00000205,SKU-FLO-001,2024-06-02,35603,34898,M4
PLAN-00000206,SKU-FLO-001,2024-06-09,37422,37790,M6
PLAN-00000207,SKU-FLO-001,2024-06-16,33536,34186,M3
PLAN-00000208,SKU-FLO-001,2024-06-23,33459,32967,M4
PLAN-00000209,SKU-FLO-001,2024-06-30,30707,29746,M4
PLAN-00000210,SKU-FLO-001,2024-07-07,33406,34020,M1
PLAN-00000211,SKU-FLO-001,2024-07-14,31949,29507,M3
PLAN-00000212,SKU-FLO-001,2024-07-21,30630,30417,M1
PLAN-00000213,SKU-FLO-001,2024-07-28,32018,30211,M3
PLAN-00000214,SKU-FLO-001,2024-08-04,31719,29032,M5
PLAN-00000215,SKU-FLO-001,2024-08-11,34923,39118,M1
PLAN-00000216,SKU-FLO-001,2024-08-18,37752,35891,M5
PLAN-00000217,SKU-FLO-001,2024-08-25,34926,35651,M3
PLAN-00000218,SKU-FLO-001,2024-09-01,34160,33463,M6
PLAN-00000219,SKU-FLO-001,2024-09-08,38168,39886,M3
PLAN-00000220,SKU-FLO-001,2024-09-15,35196,33288,M6
PLAN-00000221,SKU-FLO-001,2024-09-22,32398,31887,M4
PLAN-00000222,SKU-FLO-001,2024-09-29,35495,35708,M4
PLAN-00000223,SKU-FLO-001,2024-10-06,29944,27446,M3
PLAN-00000224,SKU-FLO-001,2024-10-13,33157,32100,M4
PLAN-00000225,SKU-FLO-001,2024-10-20,31326,26877,M5
PLAN-00000226,SKU-FLO-001,2024-10-27,30472,34146,M5
PLAN-00000227,SKU-FLO-001,2024-11-03,26076,25367,M2
PLAN-00000228,SKU-FLO-001,2024-11-10,33224,34180,M4
PLAN-00000229,SKU-FLO-001,2024-11-17,34215,32183,M5
PLAN-00000230,SKU-FLO-001,2024-11-24,30804,32155,M6
PLAN-00000231,SKU-FLO-001,2024-12-01,30597,33185,M2
PLAN-00000232,SKU-FLO-001,2024-12-08,33600,33418,M5
PLAN-00000233,SKU-FLO-001,2024-12-15,33337,32813,M1
PLAN-00000234,SKU-FLO-001,2024-12-22,32584,33058,M5
PLAN-00000235,SKU-FLO-001,2024-12-29,33512,34454,M3
PLAN-00000236,SKU-FLO-001,2025-01-05,33218,29418,M4
PLAN-00000237,SKU-FLO-001,2025-01-12,32542,37066,M3
PLAN-00000238,SKU-FLO-001,2025-01-19,31215,34381,M2
PLAN-00000239,SKU-FLO-001,2025-01-26,32937,36762,M4
PLAN-00000240,SKU-FLO-001,2025-02-02,32678,30513,M2
PLAN-00000241,SKU-FLO-001,2025-02-09,29956,28793,M5
PLAN-00000242,SKU-FLO-001,2025-02-16,36312,40574,M5
PLAN-00000243,SKU-FLO-001,2025-02-23,35529,39335,M1
PLAN-00000244,SKU-FLO-001,2025-03-02,44208,51062,M6
PLAN-00000245,SKU-FLO-001,2025-03-09,44512,38948,M2
PLAN-00000246,SKU-FLO-001,2025-03-16,44903,44699,M3
PLAN-00000247,SKU-FLO-001,2025-03-23,42476,45389,M2
PLAN-00000248,SKU-FLO-001,2025-03-30,32300,32660,M1
PLAN-00000249,SKU-FLO-001,2025-04-06,31634,28890,M6
PLAN-00000250,SKU-FLO-001,2025-04-13,34512,37973,M5
PLAN-00000251,SKU-FLO-001,2025-04-20,28017,24571,M6
PLAN-00000252,SKU-FLO-001,2025-04-27,37968,36849,M4
PLAN-00000253,SKU-FLO-001,2025-05-04,37083,33419,M1
PLAN-00000254,SKU-FLO-001,2025-05-11,33505,38905,M5
PLAN-00000255,SKU-FLO-001,2025-05-18,33456,32663,M1
PLAN-00000256,SKU-FLO-001,2025-05-25,32157,32510,M1
PLAN-00000257,SKU-FLO-001,2025-06-01,36809,33889,M2
PLAN-00000258,SKU-FLO-001,2025-06-08,35501,37497,M4
PLAN-00000259,SKU-FLO-001,2025-06-15,33716,33684,M4
PLAN-00000260,SKU-FLO-001,2025-06-22,35483,36345,M3
PLAN-00000261,SKU-FLO-002,2023-01-01,21691,19374,M3
PLAN-00000262,SKU-FLO-002,2023-01-08,24415,25017,M6
PLAN-00000263,SKU-FLO-002,2023-01-15,23503,21823,M4
PLAN-00000264,SKU-FLO-002,2023-01-22,21383,20077,M4
PLAN-00000265,SKU-FLO-002,2023-01-29,22865,23864,M1
PLAN-00000266,SKU-FLO-002,2023-02-05,23465,19028,M3
PLAN-00000267,SKU-FLO-002,2023-02-12,22895,24145,M1
PLAN-00000268,SKU-FLO-002,2023-02-19,26884,29640,M5
PLAN-00000269,SKU-FLO-002,2023-02-26,24673,24930,M4
PLAN-00000270,SKU-FLO-002,2023-03-05,22580,22069,M6
PLAN-00000271,SKU-FLO-002,2023-03-12,23428,21689,M2
PLAN-00000272,SKU-FLO-002,2023-03-19,26173,25552,M6
PLAN-00000273,SKU-FLO-002,2023-03-26,30813,28265,M4
PLAN-00000274,SKU-FLO-002,2023-04-02,30355,30332,M2
PLAN-00000275,SKU-FLO-002,2023-04-09,31111,35328,M5
PLAN-00000276,SKU-FLO-002,2023-04-16,30160,34879,M2
PLAN-00000277,SKU-FLO-002,2023-04-23,23696,22842,M2
PLAN-00000278,SKU-FLO-002,2023-04-30,23326,23316,M3
PLAN-00000279,SKU-FLO-002,2023-05-07,24477,29571,M5
PLAN-00000280,SKU-FLO-002,2023-05-14,22861,24440,M6
PLAN-00000281,SKU-FLO-002,2023-05-21,22014,25533,M3
PLAN-00000282,SKU-FLO-002,2023-05-28,24884,26071,M2
PLAN-00000283,SKU-FLO-002,2023-06-04,23876,24189,M4
PLAN-00000284,SKU-FLO-002,2023-06-11,22784,21761,M4
PLAN-00000285,SKU-FLO-002,2023-06-18,24813,25270,M2
PLAN-00000286,SKU-FLO-002,2023-06-25,24852,25193,M1
PLAN-00000287,SKU-FLO-002,2023-07-02,22923,24208,M1
PLAN-00000288,SKU-FLO-002,2023-07-09,24462,23641,M6
PLAN-00000289,SKU-FLO-002,2023-07-16,22203,21653,M5
PLAN-00000290,SKU-FLO-002,2023-07-23,22936,23006,M5
PLAN-00000291,SKU-FLO-002,2023-07-30,22815,22392,M3
PLAN-00000292,SKU-FLO-002,2023-08-06,23770,24612,M2
PLAN-00000293,SKU-FLO-002,2023-08-13,26393,26684,M2
PLAN-00000294,SKU-FLO-002,2023-08-20,26340,27261,M6
PLAN-00000295,SKU-FLO-002,2023-08-27,27155,22465,M4
PLAN-00000296,SKU-FLO-002,2023-09-03,26287,27804,M2
PLAN-00000297,SKU-FLO-002,2023-09-10,24033,22476,M4
PLAN-00000298,SKU-FLO-002,2023-09-17,23423,19602,M2
PLAN-00000299,SKU-FLO-002,2023-09-24,23062,21709,M1
PLAN-00000300,SKU-FLO-002,2023-10-01,23714,21671,M4
PLAN-00000301,SKU-FLO-002,2023-10-08,24575,25777,M4
PLAN-00000302,SKU-FLO-002,2023-10-15,22057,24398,M4
PLAN-00000303,SKU-FLO-002,2023-10-22,23144,23485,M3
PLAN-00000304,SKU-FLO-002,2023-10-29,22561,22677,M3
PLAN-00000305,SKU-FLO-002,2023-11-05,23161,18974,M5
PLAN-00000306,SKU-FLO-002,2023-11-12,22782,20388,M6
PLAN-00000307,SKU-FLO-002,2023-11-19,24071,21549,M1
PLAN-00000308,SKU-FLO-002,2023-11-26,24674,21677,M3
PLAN-00000309,SKU-FLO-002,2023-12-03,23248,26810,M5
PLAN-00000310,SKU-FLO-002,2023-12-10,23134,22195,M4
PLAN-00000311,SKU-FLO-002,2023-12-17,23852,24030,M2
PLAN-00000312,SKU-FLO-002,2023-12-24,22149,23177,M1
PLAN-00000313,SKU-FLO-002,2023-12-31,26525,27192,M2
PLAN-00000314,SKU-FLO-002,2024-01-07,24067,27269,M4
PLAN-00000315,SKU-FLO-002,2024-01-14,22743,22734,M3
PLAN-00000316,SKU-FLO-002,2024-01-21,26016,22330,M6
PLAN-00000317,SKU-FLO-002,2024-01-28,21968,19408,M2
PLAN-00000318,SKU-FLO-002,2024-02-04,23263,23723,M4
PLAN-00000319,SKU-FLO-002,2024-02-11,23896,27126,M3
PLAN-00000320,SKU-FLO-002,2024-02-18,24421,25929,M3
PLAN-00000321,SKU-FLO-002,2024-02-25,23818,25706,M6
PLAN-00000322,SKU-FLO-002,2024-03-03,24250,26052,M1
PLAN-00000323,SKU-FLO-002,2024-03-10,29074,30459,M5
PLAN-00000324,SKU-FLO-002,2024-03-17,33029,31095,M6
PLAN-00000325,SKU-FLO-002,2024-03-24,31402,29981,M5
PLAN-00000326,SKU-FLO-002,2024-03-31,29559,36335,M2
PLAN-00000327,SKU-FLO-002,2024-04-07,30492,32135,M1
PLAN-00000328,SKU-FLO-002,2024-04-14,24917,25045,M6
PLAN-00000329,SKU-FLO-002,2024-04-21,26388,26921,M4
PLAN-00000330,SKU-FLO-002,2024-04-28,25845,25659,M5
PLAN-00000331,SKU-FLO-002,2024-05-05,24317,21354,M2
PLAN-00000332,SKU-FLO-002,2024-05-12,23044,20553,M5
PLAN-00000333,SKU-FLO-002,2024-05-19,23170,23762,M3
PLAN-00000334,SKU-FLO-002,2024-05-26,22950,22043,M5
PLAN-00000335,SKU-FLO-002,2024-06-02,23584,23471,M1
PLAN-00000336,SKU-FLO-002,2024-06-09,20056,19305,M4
PLAN-00000337,SKU-FLO-002,2024-06-16,25852,25052,M1
PLAN-00000338,SKU-FLO-002,2024-06-23,23401,22640,M3
PLAN-00000339,SKU-FLO-002,2024-06-30,23296,20939,M5
PLAN-00000340,SKU-FLO-002,2024-07-07,25611,24266,M6
PLAN-00000341,SKU-FLO-002,2024-07-14,25274,26435,M4
PLAN-00000342,SKU-FLO-002,2024-07-21,25876,31788,M4
PLAN-00000343,SKU-FLO-002,2024-07-28,23979,23563,M2
PLAN-00000344,SKU-FLO-002,2024-08-04,24198,24974,M5
PLAN-00000345,SKU-FLO-002,2024-08-11,25370,22771,M3
PLAN-00000346,SKU-FLO-002,2024-08-18,25427,24685,M2
PLAN-00000347,SKU-FLO-002,2024-08-25,25555,26844,M4
PLAN-00000348,SKU-FLO-002,2024-09-01,26787,25365,M6
PLAN-00000349,SKU-FLO-002,2024-09-08,25650,23634,M5
PLAN-00000350,SKU-FLO-002,2024-09-15,23315,24869,M1
PLAN-00000351,SKU-FLO-002,2024-09-22,24440,23688,M5
PLAN-00000352,SKU-FLO-002,2024-09-29,22375,22206,M1
PLAN-00000353,SKU-FLO-002,2024-10-06,23625,25236,M4
PLAN-00000354,SKU-FLO-002,2024-10-13,26246,25572,M2
PLAN-00000355,SKU-FLO-002,2024-10-20,24114,23907,M4
PLAN-00000356,SKU-FLO-002,2024-10-27,23713,25895,M6
PLAN-00000357,SKU-FLO-002,2024-11-03,25078,25851,M5
PLAN-00000358,SKU-FLO-002,2024-11-10,25098,21412,M5
PLAN-00000359,SKU-FLO-002,2024-11-17,21420,21583,M1
PLAN-00000360,SKU-FLO-002,2024-11-24,26018,22545,M1
PLAN-00000361,SKU-FLO-002,2024-12-01,23134,24014,M3
PLAN-00000362,SKU-FLO-002,2024-12-08,27176,25277,M4
PLAN-00000363,SKU-FLO-002,2024-12-15,25131,23708,M2
PLAN-00000364,SKU-FLO-002,2024-12-22,22821,23131,M1
PLAN-00000365,SKU-FLO-002,2024-12-29,24049,26410,M2
PLAN-00000366,SKU-FLO-002,2025-01-05,22416,17180,M6
PLAN-00000367,SKU-FLO-002,2025-01-12,23977,24599,M6
PLAN-00000368,SKU-FLO-002,2025-01-19,28036,24842,M5
PLAN-00000369,SKU-FLO-002,2025-01-26,23428,23277,M5
PLAN-00000370,SKU-FLO-002,2025-02-02,25949,26779,M5
PLAN-00000371,SKU-FLO-002,2025-02-09,26301,27510,M6
PLAN-00000372,SKU-FLO-002,2025-02-16,25321,25033,M2
PLAN-00000373,SKU-FLO-002,2025-02-23,25768,28120,M2
PLAN-00000374,SKU-FLO-002,2025-03-02,33363,34212,M5
PLAN-00000375,SKU-FLO-002,2025-03-09,34749,34518,M4
PLAN-00000376,SKU-FLO-002,2025-03-16,34349,35003,M5
PLAN-00000377,SKU-FLO-002,2025-03-23,31487,37278,M4
PLAN-00000378,SKU-FLO-002,2025-03-30,26853,23042,M1
PLAN-00000379,SKU-FLO-002,2025-04-06,25115,25796,M5
PLAN-00000380,SKU-FLO-002,2025-04-13,24619,23533,M4
PLAN-00000381,SKU-FLO-002,2025-04-20,25837,21887,M4
PLAN-00000382,SKU-FLO-002,2025-04-27,24406,23180,M1
PLAN-00000383,SKU-FLO-002,2025-05-04,26760,26635,M1
PLAN-00000384,SKU-FLO-002,2025-05-11,24304,23471,M3
PLAN-00000385,SKU-FLO-002,2025-05-18,25593,25063,M6
PLAN-00000386,SKU-FLO-002,2025-05-25,25017,26095,M2
PLAN-00000387,SKU-FLO-002,2025-06-01,27382,28525,M6
PLAN-00000388,SKU-FLO-002,2025-06-08,26399,26416,M3
PLAN-00000389,SKU-FLO-002,2025-06-15,25753,28625,M6
PLAN-00000390,SKU-FLO-002,2025-06-22,26297,23985,M2
PLAN-00000391,SKU-WHO-003,2023-01-01,39303,43360,M6
PLAN-00000392,SKU-WHO-003,2023-01-08,39141,45712,M5
PLAN-00000393,SKU-WHO-003,2023-01-15,34753,32938,M4
PLAN-00000394,SKU-WHO-003,2023-01-22,37552,37790,M4
PLAN-00000395,SKU-WHO-003,2023-01-29,38161,37362,M4
PLAN-00000396,SKU-WHO-003,2023-02-05,38392,40077,M4
PLAN-00000397,SKU-WHO-003,2023-02-12,40571,43813,M5
