po_id,supplier_id,material_id,order_date,expected_delivery_date,actual_delivery_date,quantity_kg,status
PO-00000041,SUP-KSA-03,RM-ADTV-187,2023-04-20,2023-04-30,2023-04-30,1221.21,Delivered
PO-00000042,SUP-KSA-03,RM-ADTV-236,2024-11-09,2024-11-19,2024-11-19,1909.69,Delivered
PO-00000043,SUP-AUS-01,RM-WHT-044,2023-03-19,2023-04-13,2023-04-13,23041.62,Delivered
PO-00000044,SUP-IND-01,RM-WHT-008,2023-01-04,2023-01-22,2023-01-22,21220.4,Delivered
PO-00000045,SUP-UKR-01,RM-WHT-087,2023-12-05,2023-12-27,2023-12-27,40947.61,Delivered
PO-00000046,SUP-KSA-04,RM-ADTV-215,2023-11-22,2023-12-03,2023-12-03,1042.92,Delivered
PO-00000047,SUP-KSA-03,RM-ADTV-242,2024-12-27,2025-01-06,2025-01-06,1741.15,Delivered
PO-00000048,SUP-UKR-01,RM-WHT-080,2024-06-03,2024-06-25,2024-06-25,18055.73,Delivered
PO-00000049,SUP-AUS-01,RM-WHT-135,2024-06-03,2024-06-28,2024-06-28,12819.27,Delivered
PO-00000050,SUP-AUS-01,RM-WHT-004,2023-10-15,2023-11-09,2023-11-09,7699.99,Delivered
PO-00000051,SUP-KSA-01,RM-ADTV-249,2024-08-16,2024-08-23,2024-08-23,753.54,Delivered
PO-00000052,SUP-AUS-01,RM-WHT-032,2023-12-15,2024-01-09,2024-01-09,20452.73,Delivered
PO-00000053,SUP-AUS-01,RM-WHT-047,2025-01-15,2025-02-09,2025-02-09,19854.32,Delivered
PO-00000054,SUP-KSA-04,RM-ADTV-246,2023-04-25,2023-05-06,2023-05-06,1869.61,Delivered
PO-00000055,SUP-KSA-03,RM-ADTV-171,2025-01-15,2025-01-25,2025-01-25,1958.88,Delivered
PO-00000056,SUP-UKR-01,RM-WHT-100,2025-05-27,2025-06-18,2025-06-18,36055.49,Delivered
PO-00000057,SUP-KSA-03,RM-ADTV-174,2023-09-21,2023-10-01,2023-10-01,2619.05,Delivered
PO-00000058,SUP-UKR-01,RM-WHT-004,2025-03-12,2025-04-03,2025-04-03,9764.1,Delivered
PO-00000059,SUP-AUS-01,RM-WHT-141,2023-02-12,2023-03-09,2023-03-09,26652.66,Delivered
PO-00000060,SUP-UKR-01,RM-WHT-102,2024-08-30,2024-09-21,2024-09-21,1947.73,Delivered
PO-00000061,SUP-AUS-01,RM-WHT-014,2023-12-03,2023-12-28,2023-12-28,5415.87,Delivered
PO-00000062,SUP-IND-01,RM-WHT-089,2024-11-01,2024-11-19,2024-11-19,10940.58,Delivered
PO-00000063,SUP-KSA-02,RM-ADTV-204,2025-05-07,2025-05-16,2025-05-16,3658.03,Delivered
PO-00000064,SUP-AUS-01,RM-WHT-062,2024-02-08,2024-03-04,2024-03-04,43990.4,Delivered
PO-00000065,SUP-UKR-01,RM-WHT-095,2024-05-28,2024-06-19,2024-06-19,15710.92,Delivered
PO-00000066,SUP-KSA-01,RM-ADTV-221,2024-05-13,2024-05-20,2024-05-20,1356.0,Delivered
PO-00000067,SUP-IND-01,RM-WHT-142,2023-07-27,2023-08-14,2023-08-14,35480.25,Delivered
PO-00000068,SUP-IND-01,RM-WHT-035,2023-08-16,2023-09-03,2023-09-03,23016.74,Delivered
PO-00000069,SUP-KSA-01,RM-ADTV-186,2024-05-14,2024-05-21,2024-05-21,3599.33,Delivered
PO-00000070,SUP-AUS-01,RM-WHT-065,2024-07-14,2024-08-08,2024-08-08,33058.87,Delivered
PO-00000071,SUP-KSA-03,RM-ADTV-244,2024-12-09,2024-12-19,2024-12-19,3179.84,Delivered
PO-00000072,SUP-AUS-01,RM-WHT-107,2023-09-13,2023-10-08,2023-10-08,19082.74,Delivered
PO-00000073,SUP-KSA-02,RM-ADTV-230,2024-05-05,2024-05-14,2024-05-14,2401.85,Delivered
PO-00000074,SUP-KSA-01,RM-ADTV-189,2024-11-02,2024-11-09,2024-11-09,4006.9,Delivered
PO-00000075,SUP-IND-01,RM-WHT-120,2023-02-27,2023-03-17,2023-03-17,7218.04,Delivered
PO-00000076,SUP-IND-01,RM-WHT-115,2025-03-14,2025-04-01,2025-04-01,16500.94,Delivered
PO-00000077,SUP-KSA-04,RM-ADTV-204,2023-10-29,2023-11-09,2023-11-09,2978.85,Delivered
PO-00000078,SUP-KSA-02,RM-ADTV-154,2023-02-24,2023-03-05,2023-03-05,499.07,Delivered
PO-00000079,SUP-KSA-02,RM-ADTV-224,2024-07-23,2024-08-01,2024-08-01,538.63,Delivered
PO-00000080,SUP-KSA-02,RM-ADTV-233,2023-12-13,2023-12-22,2023-12-22,285.17,Delivered
PO-00000081,SUP-KSA-03,RM-ADTV-151,2025-04-14,2025-04-24,2025-04-24,417.64,Delivered
PO-00000082,SUP-AUS-01,RM-WHT-038,2025-04-11,2025-05-06,2025-05-06,5713.99,Delivered
PO-00000083,SUP-KSA-03,RM-ADTV-183,2024-11-07,2024-11-17,2024-11-17,412.36,Delivered
PO-00000084,SUP-UKR-01,RM-WHT-080,2024-02-10,2024-03-03,2024-03-03,28789.04,Delivered
PO-00000085,SUP-IND-01,RM-WHT-001,2025-06-04,2025-06-22,2025-06-22,5660.8,Delivered
PO-00000086,SUP-KSA-04,RM-ADTV-219,2023-12-06,2023-12-17,2023-12-17,513.13,Delivered
PO-00000087,SUP-IND-01,RM-WHT-128,2023-05-02,2023-05-20,2023-05-20,37867.48,Delivered
PO-00000088,SUP-KSA-03,RM-ADTV-217,2024-03-24,2024-04-03,2024-04-03,2395.59,Delivered
PO-00000089,SUP-KSA-01,RM-ADTV-159,2025-03-22,2025-03-29,2025-03-29,419.14,Delivered
PO-00000090,SUP-KSA-04,RM-ADTV-159,2024-06-27,2024-07-08,2024-07-08,388.65,Delivered
PO-00000091,SUP-UKR-01,RM-WHT-067,2025-01-06,2025-01-28,2025-01-28,3210.66,Delivered
PO-00000092,SUP-KSA-02,RM-ADTV-183,2022-12-29,2023-01-07,2023-01-07,393.21,Delivered
PO-00000093,SUP-UKR-01,RM-WHT-037,2023-04-18,2023-05-10,2023-05-10,40639.25,Delivered
PO-00000094,SUP-AUS-01,RM-WHT-068,2024-06-03,2024-06-28,2024-06-28,6499.24,Delivered
PO-00000095,SUP-KSA-04,RM-ADTV-197,2025-03-30,2025-04-10,2025-04-10,674.9,Delivered
PO-00000096,SUP-AUS-01,RM-WHT-096,2023-01-09,2023-02-03,2023-02-03,16028.51,Delivered
PO-00000097,SUP-KSA-03,RM-ADTV-207,2024-10-27,2024-11-06,2024-11-06,2345.63,Delivered
PO-00000098,SUP-UKR-01,RM-WHT-147,2023-06-24,2023-07-16,2023-07-16,29413.17,Delivered
PO-00000099,SUP-KSA-04,RM-ADTV-186,2024-11-11,2024-11-22,2024-11-22,1655.72,Delivered
PO-00000100,SUP-UKR-01,RM-WHT-146,2024-12-21,2025-01-12,2025-01-12,21131.88,Delivered
PO-00000101,SUP-IND-01,RM-WHT-146,2025-03-16,2025-04-03,2025-04-03,15851.16,Delivered
PO-00000102,SUP-AUS-01,RM-WHT-103,2025-03-23,2025-04-17,2025-04-17,24732.88,Delivered
PO-00000103,SUP-UKR-01,RM-WHT-128,2024-05-21,2024-06-12,2024-06-12,20785.8,Delivered
PO-00000104,SUP-KSA-04,RM-ADTV-216,2025-05-13,2025-05-24,2025-05-24,872.96,Delivered
PO-00000105,SUP-IND-01,RM-WHT-098,2025-01-12,2025-01-30,2025-01-30,11999.99,Delivered
PO-00000106,SUP-AUS-01,RM-WHT-111,2024-10-11,2024-11-05,2024-11-05,18560.09,Delivered
PO-00000107,SUP-KSA-03,RM-ADTV-248,2024-08-26,2024-09-05,2024-09-05,1817.47,Delivered
PO-00000108,SUP-AUS-01,RM-WHT-047,2023-02-07,2023-03-04,2023-03-04,33781.14,Delivered
PO-00000109,SUP-KSA-04,RM-ADTV-196,2024-02-19,2024-03-01,2024-03-01,1341.81,Delivered
PO-00000110,SUP-KSA-03,RM-ADTV-232,2023-06-24,2023-07-04,2023-07-04,1890.44,Delivered
PO-00000111,SUP-UKR-01,RM-WHT-146,2023-10-04,2023-10-26,2023-10-26,24128.76,Delivered
PO-00000112,SUP-AUS-01,RM-WHT-047,2025-05-15,2025-06-09,2025-06-09,13324.56,Delivered
PO-00000113,SUP-KSA-02,RM-ADTV-207,2024-07-10,2024-07-19,2024-07-19,3024.83,Delivered
PO-00000114,SUP-IND-01,RM-WHT-112,2024-04-04,2024-04-22,2024-04-22,40100.14,Delivered
PO-00000115,SUP-KSA-01,RM-ADTV-199,2023-01-25,2023-02-01,2023-02-01,997.07,Delivered
PO-00000116,SUP-KSA-03,RM-ADTV-152,2025-05-25,2025-06-04,2025-06-04,737.64,Delivered
PO-00000117,SUP-AUS-01,RM-WHT-053,2024-01-30,2024-02-24,2024-02-24,7306.36,Delivered
PO-00000118,SUP-KSA-02,RM-ADTV-207,2023-07-19,2023-07-28,2023-07-28,3261.91,Delivered
PO-00000119,SUP-KSA-01,RM-ADTV-188,2023-06-03,2023-06-10,2023-06-10,1701.47,Delivered
PO-00000120,SUP-AUS-01,RM-WHT-032,2024-04-19,2024-05-14,2024-05-14,13343.93,Delivered
PO-00000121,SUP-IND-01,RM-WHT-141,2023-12-23,2024-01-10,2024-01-10,29821.56,Delivered
PO-00000122,SUP-AUS-01,RM-WHT-127,2023-01-13,2023-02-07,2023-02-07,7606.53,Delivered
PO-00000123,SUP-IND-01,RM-WHT-127,2024-06-05,2024-06-23,2024-06-23,16871.36,Delivered
PO-00000124,SUP-AUS-01,RM-WHT-032,2023-06-22,2023-07-17,2023-07-17,40411.99,Delivered
PO-00000125,SUP-KSA-04,RM-ADTV-203,2025-02-19,2025-03-02,2025-03-02,349.41,Delivered
PO-00000126,SUP-KSA-01,RM-ADTV-186,2022-12-31,2023-01-07,2023-01-07,842.57,Delivered
PO-00000127,SUP-UKR-01,RM-WHT-114,2023-06-16,2023-07-08,2023-07-08,4545.3,Delivered
PO-00000128,SUP-UKR-01,RM-WHT-021,2023-12-29,2024-01-20,2024-01-20,13744.84,Delivered
PO-00000129,SUP-KSA-01,RM-ADTV-237,2024-10-03,2024-10-10,2024-10-10,639.83,Delivered
PO-00000130,SUP-IND-01,RM-WHT-108,2025-04-23,2025-05-11,2025-05-11,19796.93,Delivered
PO-00000131,SUP-KSA-04,RM-ADTV-181,2024-07-14,2024-07-25,2024-07-25,1316.32,Delivered
PO-00000132,SUP-UKR-01,RM-WHT-096,2023-09-05,2023-09-27,2023-09-27,9287.81,Delivered
PO-00000133,SUP-UKR-01,RM-WHT-027,2023-01-02,2023-01-24,2023-01-24,10982.32,Delivered
PO-00000134,SUP-UKR-01,RM-WHT-060,2023-06-17,2023-07-09,2023-07-09,21829.2,Delivered
PO-00000135,SUP-AUS-01,RM-WHT-146,2025-03-03,2025-03-28,2025-03-28,32891.83,Delivered
PO-00000136,SUP-UKR-01,RM-WHT-003,2024-07-29,2024-08-20,2024-08-20,6205.16,Delivered
PO-00000137,SUP-IND-01,RM-WHT-034,2025-06-12,2025-06-30,2025-06-30,11018.46,Delivered
PO-00000138,SUP-IND-01,RM-WHT-016,2023-06-05,2023-06-23,2023-06-23,6519.86,Delivered
PO-00000139,SUP-KSA-03,RM-ADTV-157,2024-01-29,2024-02-08,2024-02-08,346.47,Delivered
PO-00000140,SUP-KSA-04,RM-ADTV-220,2023-10-23,2023-11-03,2023-11-03,669.96,Delivered
PO-00000141,SUP-AUS-01,RM-WHT-045,2025-04-05,2025-04-30,2025-04-30,38445.59,Delivered
PO-00000142,SUP-AUS-01,RM-WHT-123,2024-05-27,2024-06-21,2024-06-21,28568.76,Delivered
PO-00000143,SUP-AUS-01,RM-WHT-092,2023-01-04,2023-01-29,2023-01-29,14594.74,Delivered
PO-00000144,SUP-KSA-02,RM-ADTV-187,2025-02-02,2025-02-11,2025-02-11,1300.79,Delivered
PO-00000145,SUP-IND-01,RM-WHT-115,2024-10-22,2024-11-09,2024-11-09,5524.52,Delivered
PO-00000146,SUP-KSA-01,RM-ADTV-190,2024-02-23,2024-03-01,2024-03-01,2060.5,Delivered
PO-00000147,SUP-KSA-04,RM-ADTV-214,2025-06-12,2025-06-23,2025-06-23,1741.37,Delivered
PO-00000148,SUP-AUS-01,RM-WHT-057,2025-04-07,2025-05-02,2025-05-02,31783.63,Delivered
PO-00000149,SUP-KSA-04,RM-ADTV-173,2023-05-03,2023-05-14,2023-05-14,271.06,Delivered
PO-00000150,SUP-IND-01,RM-WHT-031,2023-02-13,2023-03-03,2023-03-03,6227.63,Delivered
PO-00000151,SUP-UKR-01,RM-WHT-085,2024-08-23,2024-09-14,2024-09-14,19675.68,Delivered
PO-00000152,SUP-KSA-03,RM-ADTV-150,2024-04-13,2024-04-23,2024-04-23,945.4,Delivered
PO-00000153,SUP-UKR-01,RM-WHT-129,2023-09-30,2023-10-22,2023-10-22,7215.03,Delivered
PO-00000154,SUP-KSA-04,RM-ADTV-217,2024-07-22,2024-08-02,2024-08-02,2426.66,Delivered
PO-00000155,SUP-IND-01,RM-WHT-103,2024-01-28,2024-02-15,2024-02-15,12417.56,Delivered
PO-00000156,SUP-UKR-01,RM-WHT-136,2023-03-25,2023-04-16,2023-04-16,41958.69,Delivered
PO-00000157,SUP-KSA-03,RM-ADTV-175,2023-06-01,2023-06-11,2023-06-11,1848.4,Delivered
PO-00000158,SUP-UKR-01,RM-WHT-025,2024-11-17,2024-12-09,2024-12-09,14541.22,Delivered
PO-00000159,SUP-AUS-01,RM-WHT-012,2023-04-18,2023-05-13,2023-05-13,8909.69,Delivered
PO-00000160,SUP-IND-01,RM-WHT-059,2023-08-28,2023-09-15,2023-09-15,43905.57,Delivered
PO-00000161,SUP-AUS-01,RM-WHT-019,2024-10-05,2024-10-30,2024-10-30,24963.81,Delivered
PO-00000162,SUP-AUS-01,RM-WHT-143,2023-05-12,2023-06-06,2023-06-06,32928.5,Delivered
PO-00000163,SUP-IND-01,RM-WHT-141,2025-03-29,2025-04-16,2025-04-16,28273.81,Delivered
PO-00000164,SUP-KSA-01,RM-ADTV-203,2024-06-19,2024-06-26,2024-06-26,440.19,Delivered
PO-00000165,SUP-KSA-04,RM-ADTV-214,2024-06-11,2024-06-22,2024-06-22,2354.36,Delivered
PO-00000166,SUP-IND-01,RM-WHT-091,2022-12-15,2023-01-02,2023-01-02,27706.39,Delivered
PO-00000167,SUP-UKR-01,RM-WHT-097,2023-01-17,2023-02-08,2023-02-08,11838.18,Delivered
PO-00000168,SUP-KSA-01,RM-ADTV-214,2023-06-24,2023-07-01,2023-07-01,2111.76,Delivered
PO-00000169,SUP-KSA-04,RM-ADTV-190,2023-02-21,2023-03-04,2023-03-04,1487.18,Delivered
PO-00000170,SUP-UKR-01,RM-WHT-050,2024-12-21,2025-01-12,2025-01-12,5289.37,Delivered
PO-00000171,SUP-KSA-02,RM-ADTV-189,2023-06-26,2023-07-05,2023-07-05,3902.74,Delivered
PO-00000172,SUP-AUS-01,RM-WHT-124,2024-03-12,2024-04-06,2024-04-06,5337.87,Delivered
PO-00000173,SUP-AUS-01,RM-WHT-057,2025-05-27,2025-06-21,2025-06-21,27365.37,Delivered
PO-00000174,SUP-AUS-01,RM-WHT-048,2024-04-28,2024-05-23,2024-05-23,2964.75,Delivered
PO-00000175,SUP-UKR-01,RM-WHT-053,2024-11-05,2024-11-27,2024-11-27,20402.84,Delivered
PO-00000176,SUP-KSA-01,RM-ADTV-187,2024-01-03,2024-01-10,2024-01-10,273.29,Delivered
PO-00000177,SUP-KSA-03,RM-ADTV-224,2023-11-15,2023-11-25,2023-11-25,679.92,Delivered
PO-00000178,SUP-UKR-01,RM-WHT-093,2023-06-14,2023-07-06,2023-07-06,28826.88,Delivered
PO-00000179,SUP-UKR-01,RM-WHT-054,2023-08-19,2023-09-10,2023-09-10,30886.95,Delivered
PO-00000180,SUP-KSA-02,RM-ADTV-167,2025-06-05,2025-06-14,2025-06-14,1580.32,Delivered
PO-00000181,SUP-UKR-01,RM-WHT-051,2024-01-01,2024-01-23,2024-01-23,37713.43,Delivered
PO-00000182,SUP-AUS-01,RM-WHT-113,2024-01-07,2024-02-01,2024-02-01,8986.68,Delivered
PO-00000183,SUP-UKR-01,RM-WHT-146,2023-09-06,2023-09-28,2023-09-28,22744.07,Delivered
PO-00000184,SUP-AUS-01,RM-WHT-062,2023-11-23,2023-12-18,2023-12-18,22554.47,Delivered
PO-00000185,SUP-UKR-01,RM-WHT-091,2025-05-24,2025-06-15,2025-06-15,41888.0,Delivered
PO-00000186,SUP-UKR-01,RM-WHT-061,2024-08-08,2024-08-30,2024-08-30,23346.14,Delivered
PO-00000187,SUP-IND-01,RM-WHT-136,2024-02-02,2024-02-20,2024-02-20,10814.15,Delivered
PO-00000188,SUP-UKR-01,RM-WHT-139,2024-07-05,2024-07-27,2024-07-27,13687.65,Delivered
PO-00000189,SUP-AUS-01,RM-WHT-128,2025-04-08,2025-05-03,2025-05-03,26198.89,Delivered
PO-00000190,SUP-UKR-01,RM-WHT-095,2025-03-05,2025-03-27,2025-03-27,15543.86,Delivered
PO-00000191,SUP-IND-01,RM-WHT-088,2023-05-27,2023-06-14,2023-06-14,12186.13,Delivered
PO-00000192,SUP-KSA-02,RM-ADTV-231,2023-03-30,2023-04-08,2023-04-08,316.61,Delivered
PO-00000193,SUP-KSA-02,RM-ADTV-236,2025-03-26,2025-04-04,2025-04-04,1118.16,Delivered
PO-00000194,SUP-KSA-03,RM-ADTV-188,2024-08-06,2024-08-16,2024-08-16,1925.64,Delivered
PO-00000195,SUP-UKR-01,RM-WHT-092,2023-09-17,2023-10-09,2023-10-09,26978.33,Delivered
PO-00000196,SUP-KSA-01,RM-ADTV-194,2023-02-15,2023-02-22,2023-02-22,1654.53,Delivered
PO-00000197,SUP-KSA-01,RM-ADTV-178,2025-06-01,2025-06-08,2025-06-08,1739.82,Delivered
PO-00000198,SUP-UKR-01,RM-WHT-085,2024-05-11,2024-06-02,2024-06-02,8838.95,Delivered
PO-00000199,SUP-KSA-01,RM-ADTV-205,2023-05-29,2023-06-05,2023-06-05,2409.91,Delivered
PO-00000200,SUP-KSA-03,RM-ADTV-196,2024-02-17,2024-02-27,2024-02-27,1130.8,Delivered
PO-00000201,SUP-KSA-02,RM-ADTV-203,2024-01-14,2024-01-23,2024-01-23,413.38,Delivered
PO-00000202,SUP-AUS-01,RM-WHT-143,2024-10-21,2024-11-15,2024-11-15,30503.86,Delivered
PO-00000203,SUP-KSA-03,RM-ADTV-217,2023-10-20,2023-10-30,2023-10-30,2346.46,Delivered
PO-00000204,SUP-KSA-01,RM-ADTV-175,2024-08-01,2024-08-08,2024-08-08,1249.71,Delivered
PO-00000205,SUP-UKR-01,RM-WHT-022,2024-02-23,2024-03-16,2024-03-16,16453.89,Delivered
PO-00000206,SUP-KSA-03,RM-ADTV-249,2025-03-30,2025-04-09,2025-04-09,1209.41,Delivered
PO-00000207,SUP-KSA-01,RM-ADTV-245,2023-10-25,2023-11-01,2023-11-01,1655.1,Delivered
PO-00000208,SUP-KSA-02,RM-ADTV-179,2023-05-14,2023-05-23,2023-05-23,396.14,Delivered
PO-00000209,SUP-AUS-01,RM-WHT-137,2024-04-14,2024-05-09,2024-05-09,30847.68,Delivered
PO-00000210,SUP-KSA-04,RM-ADTV-247,2023-09-09,2023-09-20,2023-09-20,4048.68,Delivered
PO-00000211,SUP-AUS-01,RM-WHT-023,2024-02-23,2024-03-19,2024-03-19,12988.96,Delivered
PO-00000212,SUP-KSA-01,RM-ADTV-246,2023-04-12,2023-04-19,2023-04-19,4116.5,Delivered
PO-00000213,SUP-KSA-01,RM-ADTV-219,2023-07-19,2023-07-26,2023-07-26,943.92,Delivered
PO-00000214,SUP-KSA-04,RM-ADTV-151,2023-02-09,2023-02-20,2023-02-20,833.15,Delivered
PO-00000215,SUP-KSA-04,RM-ADTV-178,2023-09-15,2023-09-26,2023-09-26,4221.34,Delivered
PO-00000216,SUP-KSA-03,RM-ADTV-170,2025-01-22,2025-02-01,2025-02-01,2448.4,Delivered
PO-00000217,SUP-AUS-01,RM-WHT-100,2024-02-22,2024-03-18,2024-03-18,24859.25,Delivered
PO-00000218,SUP-AUS-01,RM-WHT-073,2023-12-29,2024-01-23,2024-01-23,10351.15,Delivered
PO-00000219,SUP-UKR-01,RM-WHT-028,2023-10-04,2023-10-26,2023-10-26,31566.92,Delivered
PO-00000220,SUP-IND-01,RM-WHT-140,2024-12-09,2024-12-27,2024-12-27,22010.84,Delivered
PO-00000221,SUP-AUS-01,RM-WHT-011,2024-08-26,2024-09-20,2024-09-20,12486.88,Delivered
PO-00000222,SUP-UKR-01,RM-WHT-094,2025-01-06,2025-01-28,2025-01-28,8582.83,Delivered
PO-00000223,SUP-AUS-01,RM-WHT-089,2024-09-27,2024-10-22,2024-10-22,12385.8,Delivered
PO-00000224,SUP-UKR-01,RM-WHT-007,2025-02-05,2025-02-27,2025-02-27,34072.49,Delivered
PO-00000225,SUP-KSA-03,RM-ADTV-153,2024-05-06,2024-05-16,2024-05-16,1150.88,Delivered
PO-00000226,SUP-KSA-04,RM-ADTV-195,2024-11-07,2024-11-18,2024-11-18,1350.03,Delivered
PO-00000227,SUP-KSA-01,RM-ADTV-244,2025-05-06,2025-05-13,2025-05-13,1875.24,Delivered
PO-00000228,SUP-UKR-01,RM-WHT-074,2024-04-08,2024-04-30,2024-04-30,38904.78,Delivered
PO-00000229,SUP-IND-01,RM-WHT-119,2024-09-16,2024-10-04,2024-10-04,19162.46,Delivered
PO-00000230,SUP-IND-01,RM-WHT-100,2024-08-02,2024-08-20,2024-08-20,34476.13,Delivered
PO-00000231,SUP-KSA-04,RM-ADTV-151,2025-06-11,2025-06-22,2025-06-22,1082.45,Delivered
PO-00000232,SUP-AUS-01,RM-WHT-098,2023-12-06,2023-12-31,2023-12-31,26200.31,Delivered
PO-00000233,SUP-UKR-01,RM-WHT-035,2024-03-15,2024-04-06,2024-04-06,33787.8,Delivered
PO-00000234,SUP-KSA-04,RM-ADTV-189,2024-06-09,2024-06-20,2024-06-20,3198.3,Delivered
PO-00000235,SUP-AUS-01,RM-WHT-011,2024-03-10,2024-04-04,2024-04-04,10780.15,Delivered
PO-00000236,SUP-IND-01,RM-WHT-112,2023-09-06,2023-09-24,2023-09-24,18538.28,Delivered
PO-00000237,SUP-KSA-01,RM-ADTV-182,2023-08-17,2023-08-24,2023-08-24,1092.56,Delivered
PO-00000238,SUP-UKR-01,RM-WHT-012,2024-09-08,2024-09-30,2024-09-30,14293.6,Delivered
PO-00000239,SUP-IND-01,RM-WHT-022,2022-12-14,2023-01-01,2023-01-01,11293.67,Delivered
PO-00000240,SUP-KSA-02,RM-ADTV-216,2023-05-18,2023-05-27,2023-05-27,3245.37,Delivered
PO-00000241,SUP-UKR-01,RM-WHT-098,2025-05-22,2025-06-13,2025-06-13,29115.41,Delivered
PO-00000242,SUP-UKR-01,RM-WHT-112,2023-06-21,2023-07-13,2023-07-13,25751.79,Delivered
PO-00000243,SUP-KSA-03,RM-ADTV-186,2024-12-22,2025-01-01,2025-01-01,3579.18,Delivered
